用户名,时间,内容,点赞量
郭天2020,2021-05-24 15:04,回复 @栗若瑶 :前两年反正说是巴不建议中国人来旅游，因为巴挺乱的，不希望中国人来之后发生意外，等以后安全一些了，会很欢迎的。现在，不知道什么情况了。,279
啊胜168,2021-05-21 18:35,中国人喜欢以礼待人，尊重对方，所以大部分脸很柔和，微笑面对。日韩我影响里都把自己当啥似的，有点面瘫，紧绷的要死,2818
胡彦斌我好想哭,2021-05-23 23:11,可恶居然敢直接说出来，这要是。。。。。你不得私信被冲烂,76
啊胜168,2021-05-25 08:18,回复 @oiine :只要不碰厨或者饭圈，都挺理智的大家,38
rrrRRrrryYY11,2021-11-21 11:20,你的评论我喜欢，你的私信记得关,32
梦泉晚霞,2021-05-22 20:05,中国真的和世界格格不入啊，我不敢想象，世界上所有的人都像中国人一样，该是怎样的太平盛世，也许，只有中国模式才是真正的地球模式吧,2479
moccadoll,2021-05-24 22:30,"是的！现在无比确信！
虽然说不能感谢新冠，但也能算祸兮福之所倚！",112
我赌你的瓜没我的大,2021-05-25 15:38,指望全球统一模式/太平算奢望了吧，而且人类文明发展的步伐也很可能放缓。在我看来，和平就是个珍贵的龟壳（既保护你也限制你），适时适当的文明对冲和交流才能突破文明自身的枷锁，让人类发展的更快。谁知道人类未来会有什么样的对手。,62
金色小鱼xyz,2021-05-26 04:00,回复 @我赌你的瓜没我的大 :希望以后国家间良性竞争而不是恶性竞争,36
兰舟不是兰州,2021-05-22 12:43,是《远方的家》！！这个栏目好好的学地理知识的起源点！,431
看落叶的麻雀,2021-05-23 00:42,这个节目我从小看到高中住校（看不了了），充满回忆啊！,1
兰舟不是兰州,2021-05-27 12:53,回复 @还有敬亭山 :安抚安抚。我之前搜过，b站上有搬运。,0
去nm的yxh,2022-05-08 21:11,姐妹你ID瞩目,0
岁月的剪辑师,2021-05-22 11:51,不要把别人的热情当作理所当然，互助互爱才是yyds.,1596
冲上云霄March,2021-05-27 21:02,对滴，我们是礼仪之邦,7
是风的呢喃,2021-11-07 17:17,单方面的友谊是脆弱的,3
黑兔小白,2022-02-07 17:43,对滴,0
杨雪舞爱吃鸡,2021-05-21 16:30,小心Korean,952
司马懿----仲达,2021-05-21 17:04,韩国人还假装中国人去巴铁饭店里面白吃白喝，还有小日本，可给我恶心坏了,127
淡蓝色的派蒙,2021-05-21 17:22,还有小日本,10
gl丶hf,2021-05-21 17:25,回复 @司马懿----仲达 :我去，恶心人的本事赶紧申遗,16
城南旧事狗与少年,2021-05-21 16:24,这个小哥比我帅一点,569
獾院小天才,2021-05-21 16:54,帅亿点,10
央视频,2021-05-21 17:01,只是帅亿点吗,84
小二灬来碗面,2021-05-22 16:13,回复 @央视频 :得寸进丈,11
2024_天下大同,2021-05-22 11:03,唯一区别就是，中国人不论什么都不会占兄弟便宜。买卖都要给钱,363
辣椒上头,2021-05-22 08:38,只有巴铁把中巴友谊写进了教科书，也就是说，从小到大都是听中国人是我们的铁哥们，哥哥，弟弟长大的。,254
白色落日と,2021-05-21 16:17,巴铁友谊天长地久,195
夜夜至天明,2021-05-21 16:30,希望有机会去巴基斯坦的国人能展现出我们的精神面貌和热情,183
衡山后学有礼了,2021-05-21 16:27,咱们有个伙伴不容易  不管🇵🇰是真心还是假意先好好处着准没坏处,182
吹灭小山河---,2021-05-21 18:20,最先在国际上面承认中国的国家之一，中国永远不会忘记巴铁的挺身而出，巴铁也一定不会忘记兔子一直以来的帮助,37
无止境电台更新了吗,2021-05-21 16:34,真没必要多么“受欢迎”，大家能友好交互，平等友爱就足够了,499
可藥C,2021-05-21 16:55,这是人们自发的感谢，就像我们也会在苏联一开始援助我们的时候感激他们一样，人之常情,160
我在这里患过伤风,2021-05-21 22:48,"你是以什么身份什么立场来这里说“没必要”？
我们中国人受欢迎，看起来你很难受啊。",49
心不在妞,2021-05-27 09:58,回复 @我在这里患过伤风 :确实没必要，我们对外的中心思想是:平等，互重，友善。,5
不理不理b,2021-05-21 16:33,十分钟，我要这个记者小哥的全部信息。,84
Go_Getter7,2021-05-21 18:22,找到了！他叫孙亚鹏现在还是90后帅气、阳刚的小哥哥,7
不理不理b,2021-05-21 19:18,回复 @Go_Getter7 :爱了爱了，微博照片更多，还有很多吃相不佳的照片。,3
_-西门大官人,2021-05-21 23:42,比那些流量鲜肉看着顺眼好看多了…笑容阳光温暖可爱，还有阳刚之气…,3
童画画画,2021-06-10 01:07,我的朋友在巴基斯坦造铁路，他跟我说巴基斯坦的人每天24小时拿着ak保护他们。,9
s1mple丿念情,2021-05-25 08:42,衣服上那么大个cctv还用问怎么认出来的吗,53
突然就打了个喷嚏,2021-05-21 16:56,系不系，有一种C位出道的赶脚？！,55
校尉officer,2021-05-21 16:19,内宣，外宣搞起来,48
我在这里患过伤风,2021-05-21 22:50,非常好的国家友谊，希望能够一直持续。 同时也要警惕棒子和倭国的龌龊行为。,37
鼓上百合,2021-05-21 18:33,翻译会中文为啥还要用英语,6
改名我要中奖啊啊啊啊,2021-05-21 16:41,一直感觉韩国日本人长得有点贼眉鼠眼的,6
糊鹿娃什么时候进监狱,2024-02-25 13:20,对啊，人丑心也丑,0
仰天长啸出门去,2021-05-21 16:18,哦，老铁,32
末雪冬望,2021-05-21 16:21,珍惜这份友谊,0
開人,2021-05-28 18:54,有些巴基斯坦的网友问现在为什么回不了中国毕业？,8
愤怒的孤独,2021-05-21 18:54,好想去巴基斯坦旅游一次啊,30
大懒练木兰,2021-10-31 20:30,我就不想去巴基斯坦旅游，我怕他们给我免单，本来是想去照顾一下兄弟的生意，结果反而让兄弟自掏腰包请我吃喝这叫什么事儿啊,7
范远飞,2021-05-21 16:28,摄像师:,5
复仇游走,2021-05-22 11:30,"纯粹主观个人的看法，国家之间，没用永远的敌人，也没有永远的朋友。现在有多热情，在那天变成敌人的时候，落差就会有多大。如果说为什么不希望你太过热情，就是怕翻脸的时候有多么的痛心。
对于人性我持悲观的态度，绝大多数的人性都经不起考验。",91
JJ狼狼,2021-05-22 13:17,继续保持，你将超越一切,58
甜腻小白粥,2021-05-22 16:29,回复 @JJ狼狼 :哈哈哈哈哈哈哈,9
午睡教教主,2021-05-23 07:31,说一些普世通用大道理一副众人皆醉我独醒的样子是不是感觉自己特别牛掰,67
piapia涯涯,2021-06-05 19:59,"只有永远的利益，没有永远的朋友。
但现在是朋友就够了，总比现在是敌人要更好。",5
晚风之忆,2021-05-22 09:46,中国人不喜欢占朋友便宜,25
悠夜粟,2021-05-23 13:02,怎么说呢，还是让我有了更多的，来源于国家带给我的自豪感和荣誉感，我为自己是中国人而骄傲,24
西北小韩,2021-05-22 09:37,为什么是2016,3
鬼魔妖怪快离开,2021-05-21 17:37,这个记者小哥哥真的帅,24
AVICX,2021-05-21 16:42,这集我几年前看过,3
一念行者一,2022-12-19 23:55,当一个国家把教育都带上了中国，就知道这是对中国有多深的友谊了,3
朕的大清亡啦我天啊,2021-05-22 10:03,勾肩搭背的，哈哈哈哈,24
闲鸦石,2021-05-22 07:38,巴基斯坦1亿人口，街头采访取样5个人，比例感人。类似的题材自媒体都淘汰几年了，营销号一般都懒得用了。,13
竹竿捅飞机,2021-05-24 10:23,二级号出来瞎蹦跶啥,0
梦幻网咔,2024-03-21 16:51,2.几亿呢，多的吓人,0
割稻,2021-05-21 16:48,小日本虚伪脸长年累月的扮笑贼眉鼠眼且僵硬，韩棒子整容脸,28
凡事总有开始,2021-05-26 00:49,天天都是巴基斯坦认中国人，可以告诉我怎么认出巴基斯坦人吗,4
温婉贤淑夏金桂,2021-05-21 17:00,呵……看巴基斯坦那些年轻人，尤其是“有知识”的那些学生，啧啧，对中国的看法简直了……,43
拉顿哈杰顿,2021-05-22 23:34,官方号也吹，真的没必要。,9
凡为鬼厉,2021-06-14 19:20,🤫,0
十步-杀,2021-05-22 10:56,之前云南那边一个研究所一个巴基斯坦的睡了好些女的，知道吧，大家可以去查查,48
春困秋乏夏彦,2021-05-22 11:48,这两者之间没有太大关系吧？这是好人坏人的区别，不是国籍问题( ´_ゝ｀),60
余笙cyk,2021-05-22 12:35,每个国家都有人渣，不能这么以偏概全，一楼说的就很好,33
甜腻小白粥,2021-05-22 16:28,回复 @春困秋乏夏彦 :对，巴铁知道了肯定也会谴责这个个例的！,8
言湫有莯,2021-05-27 08:10,巴铁人确实不错，我在加拿大留学打Uber做过两个巴基斯坦人的车，知道我是中国人之后特热情，跟我聊天给我零食，搞得我都有点不好意思了,2
Soso1234567_77,2021-05-22 19:18,这位记者先生好帅啊,23
清清玉蘭,2021-06-16 10:15,CCTV-4记者孙亚鹏，微博抖音皆有,2
Kosetoです,2021-05-22 10:09,官方这么宣传，不好吧,36
梦醒三年007,2021-05-22 23:38,不用宣传，我有一个巴基斯坦的朋友，他确实对中国人很热情,12
Kosetoです,2022-05-26 18:23,回复 @梦醒三年007 :这是看人的，哪里都有好人和坏人，这一年期间，在巴基斯坦的中国人，光是报道出来的就死了多少？,3
幻想都是梦,2021-05-22 09:35,这精神面貌不知比隔壁好太多,14
_-西门大官人,2021-05-21 23:37,小哥好帅啊，笑容可爱温暖阳光…,21
上清真境玉宸道君天尊,2021-05-21 17:15,一带一路万岁,15
河里飞zz,2021-05-21 16:39,主要记者还是个帅哥，更受欢迎了,23
三万琉璃丶,2021-05-21 16:31,巴中友谊天长地久,2
原来是兮兮,2021-05-21 16:24,前排,2
自由luo-体,2022-12-11 15:44,"哈哈哈哈哈想当明星吗？
巴铁：来我这儿",2
粉色精灵kitty,2022-06-12 00:06,有一次我在日本 遇到了一个巴铁，他一直和同行的日本女生说“we are friends”，还过来和我拍照,2
不结金丹不改名,2022-02-28 15:55,我有幸和我弟去过一次巴铁，我感觉巴铁兄弟比我喜欢我弟弟多了，同样，我弟也这么感觉,2
oO已寄勿扰Oo,2022-02-22 16:17,如果各位有机会去巴基斯坦旅游，记住，一定不要消费友谊,2
灵虎-,2022-03-21 17:10,中国人不仅仅是中国国籍的人，更是一种精神，站在那里散发出中国人的气质,9
增重不达20斤不改名,2021-05-21 18:53,别把人骗过去了，人其实跟阿三差不多 毕竟一个种族的，国家之间互相有利益还算不错，什么朋友算了，假的。,7
洛小淦,2021-05-21 17:03,那我们讲方言他们能认识吗,9
-记住了吗-,2021-05-21 16:17,我是第一吗？真的是第一吗？,5
李梅烧烤暖人心,2021-05-21 16:53,😅,4
圣母悲,2021-11-23 11:55,一起赚小钱钱呀！,1
大浪淘金不是沙ovo,2021-11-06 15:56,巴铁,1
rose614,2021-06-10 10:05,这个中国小伙子 长得真的好端正！,1
账号已注销,2021-06-06 10:30,中巴友谊万岁!,1
三鹿妈妈,2021-06-05 10:39,"对口号啊，巴基斯坦：奇变偶不变
中：符号看象限",1
托塔天王有塔啊,2021-05-30 04:35,这个记者好帅！！！,1
读书的李永康,2021-05-27 08:17,问二战转折点，区分,1
spike666666,2021-05-23 04:52,希望把铁别被个别棒子和鬼子骗到了啊~~,1
账号已注销,2021-05-22 09:32,谢谢巴巴羊,1
IVSTITIA,2021-05-22 09:29,Chin-Pakistan dosti zindabad,1
是一个强者,2021-05-21 20:47,当然是看脚底板啦：左脚3D，右脚打印。,1
-chaoshy-,2021-05-21 19:13,小哥被迫营业,1
肥牛旋风丶,2021-05-21 18:16,侣行警告⚠️,1
繁星桑原,2021-05-21 16:44,希望中巴友谊长存,1
jjkkkkksa,2021-05-21 16:38,小哥哥好帅啊，我可以惹,1
葭月十肆,2021-05-21 16:31,中巴友谊万岁,1
与世无争大贤者,2021-05-21 16:21,,1
巡礼钟声绝响,2021-05-21 16:19,哈哈哈,1
莫咖啡馆的屑店长,2021-05-21 16:18,中巴友谊长存,1
-记住了吗-,2021-05-21 16:18,热的,1
泯夜归尘,2023-09-23 15:05,中巴友谊万岁！,1
烟雨南朝梦,2023-06-28 21:27,巴基斯坦是举国之力帮助中国 虽然对于中国这个巨无霸杯水车薪 但自己有10块钱能把10块钱都给你 真的不容易  巴基斯坦所有战略储备啊,1
忍淚等雨下,2023-09-05 06:49,6,0
99岁桥洞抹泪,2023-05-06 20:51,这记者长相就很正，一看就是中国人的味道，大约是中国偏山东地区的男性标准长相,1
小小氵完熊,2022-08-07 08:55,记者好像陆小千，但是比陆小千还要帅,1
御坂妹妹最爱了,2022-03-26 14:15,社恐狂喜,1
温斌Alex,2022-03-19 19:55,"巴基斯坦整体亲华
美国整体反华

你让我怎么选",1
事到如今-先吃饭吧,2022-03-08 21:03,那我们去吃饭可不可以免单啊，思密达,1
FBI客卿,2022-03-06 22:39,巴基斯坦的男性五官都很端正啊 感觉长得都一样,1
大爱仙尊-蛊,2022-03-01 19:45,在非洲感觉也很受欢迎，跟大熊猫一样,1
bili最不正经用户_0x24,2021-05-22 08:37,"小心网上，有cia的人分裂中国人对巴基斯坦的好感。这种写中文的但实际可能根本就不是中国人的要小心！
这种人的论调无一例外就是巴基斯坦怎样怎样中国人，美国又怎样怎样中国人。总之抹黑巴基斯坦，赞美美国！",2
老司畸,2023-08-25 20:43,现在有些日韩的油管之类的博主去巴基斯坦假装我们，骗吃骗喝用来达到节目效果，完了还嘲笑他们分不清。可恶至极！,2
carlogambino,2021-05-21 16:21,,5
三岁小师妹,2021-05-21 16:31,,0
美梦现实,2021-05-21 16:30,,0
花生白糖饼,2021-05-21 16:38,,0
我吃小孩,2021-05-24 10:20,真是不记得前两年因为和巴基斯坦妇女结婚而以拐卖妇女罪被抓的上百个中国男人了么,3
傻大观,2021-05-25 08:57,宣传问题，这个新闻只凸显了“好”,2
绝命毒师66,2021-05-21 17:28,有意思吗？说的好听就是友谊其实不就是利益关系吗巴基斯坦就没有亲美的吗？换个总体亲美打你央视的脸啥话别说太满,3
sout-lucky,2021-05-21 17:32,对呀，应该在他和中国关系好的时候，上去给他一巴掌，然后给他说你这是为了利益。最后沾沾自喜的看他跑到别人的阵营。,7
长乐未央睡饱饱,2021-05-21 17:08,网上碰见很多自称巴基斯坦的 各种要要要，除了要东西加个pls没别的话,1
彭的一下,2021-05-21 16:17,第一？？？？,1
喜多郎1,2023-06-10 23:05,中巴友谊万岁,1
忍淚等雨下,2023-09-05 06:49,小丑,1
爷的昵称值6个币,2023-09-19 21:45,害😓,0
大唐虎衛軍,2021-11-07 07:43,傻子还是很多的,1
bili_4653598659,2021-06-03 20:19,有距离感的关系不错就挺好，前提是你别过来,1
蜀道山的坐忘道长,2021-05-21 22:38,风风雨雨七十年,1
AXin义马大,2021-05-21 17:50,都是政治,1
原来是神明阿,2022-01-22 18:02,加油哈,0
凡尘su子,2022-01-10 20:27,主要是你们有很多摄像机！,0
鱼板还是御坂,2022-01-15 15:32,看看前排评论吧,0
火辣又能打,2022-01-06 04:02,,0
南方的_白鸽,2021-12-30 05:10,希望不要有人因为这个去混吃混喝,0
鱼板还是御坂,2022-01-15 15:33,已经有韩国日本人冒充中国人免单了,0
潜水的小红球,2021-12-29 17:01,巴铁：老铁，一起合影？,0
anjing004715,2021-12-21 22:32,只要友善我们都是一家人,0
SpinousCrown,2021-12-19 22:09,好可爱,0
有趣的范范,2021-12-10 13:16,疫情过去了也去巴基斯坦旅个游,0
好烦啊改啥id,2021-11-21 12:32,目标一致 合作共赢,0
肖斗斗,2021-11-03 18:29,主持人好帅,0
夜灬若殇丶轩,2021-11-01 21:03,吴语分不出  。。。,0
浮川の,2021-10-13 01:40,嗨，兄弟跳一曲？,0
Raymond丨丨,2021-08-02 07:27,你们这些宣传媒体真的不干人事，给同胞洗脑让同胞被坑,0
许小球儿,2021-06-19 13:24,希望巴铁能早日实现户户通路停电通水通网络,0
揍她,2021-06-18 13:07,巴基斯坦是中国的好哥们，巴基斯坦人不一定是中国人的好哥们，记住这个就好,0
激萌阿虎V3,2021-06-18 01:19,小心日本韩国冒充中国人搞坏名声,0
阿福·吐槽·潘尼沃斯,2021-06-16 21:51,听到英语还是挺膈应,0
卡丘丿,2021-06-14 10:50,中巴 友谊永存,0
小蕊蕊蕊蕊蕊,2021-06-13 03:13,真好！！！,0
轻弹剑锋,2021-06-12 12:30,同样是给予帮助，海那边的人怎么偏偏就是白眼狼呢,0
张毛毛不吃胡萝卜,2021-06-09 18:58,小哥哥好帅,0
豪哥哥哥GEGE,2021-06-09 16:39,巴基斯坦有什么旅游景点么？,0
梨桃花,2021-06-07 19:41,铁子,0
Song卡比巴拉,2021-06-06 16:21,pak cin dosti 辛巴达接受了别人小恩小惠，回礼不回，这句都不说的，棒子鬼子无疑了,0
Toothy_888,2021-06-04 21:08,看脸我可能看不出来，但胸口上那个CCTV4远方的家可就太明显了。,0
神农小,2021-06-04 02:57,小哥哥处对象吗,0
在他脑海中奔跑,2021-06-03 18:06,记者小哥是谁啊？好帅啊,0
华为手机保资料跑密码,2021-05-30 15:59,去偏僻的地方你就知道有多好了,0
庄易易易易易先生L,2021-05-30 13:36,中巴70,0
毛绒玩偶眼镜水泥猫,2021-05-29 20:20,真的好热情啊啊啊！我好爱中国！！！！,0
小汤圆,2021-05-29 12:31,中国人会直接勾肩搭背,0
GwenFans,2021-05-29 11:41,国人大多都是互利互惠礼尚往来的。就算我们真的没给钱，我们也是会拿出点小玩意去互换的。,0
天数-,2021-05-29 10:49,其实中国百姓也是大多数都很热情，友善的！但对于诋毁我们种族除外！不论肤色,0
我沉海里,2021-05-29 06:21,泪目了,0
竹马老六,2021-05-26 16:37,还是巴巴羊可爱,0
乔克丽特小姐,2021-05-26 10:01,快进到两国人民联姻,0
眨眼雪鼠的佣兵,2021-05-25 21:39,他们会给我们免单有一些店，然后棒子就跑去装中国人去白嫖，只要特别强调自己是中国人的一般都是棒子,0
一只手拎起来,2021-05-25 19:11,我记得有个骑摩托车的去巴基斯坦，结果他们直接给俩把AK用来防身,0
实操两年半,2021-05-24 23:18,怎么都是男的,0
OK了功夫,2021-05-24 23:05,巴子是看我们喜欢拍照，然后觉得一起拍照是表示友好的意思，是这样吗,0
MiaSanMia丶FCB,2021-05-24 11:38,远方的家是个好节目啊，我特喜欢。边疆行，百川百山行，长城内外，视频里的一带一路，最近出的大运河系列。我每一集都看过。。。,0
理塘唯一之神丁真,2021-05-23 20:44,巴基斯坦是说英语的国家吗,0
平成宅叔,2021-05-23 13:38,记者说标准的中国人长相,0
村东头马老汉,2021-05-22 23:13,授人以鱼不如授人以渔，希望国家能帮巴铁铲除恐怖势力，大力发展经济。,0
四千年第一肥美,2021-05-22 15:15,我觉得还有一个原因是主持人相当帅气,0
李家篮子,2021-05-22 14:37,这小哥好帅！,0
奥德赛海洋学院,2021-05-22 12:23,拳头才是硬道理。,0
账号已注销,2021-05-22 10:50,每个国家都有好人也有坏人，不过看事也不能忽略宏观，美国确实有好人，但改变不了美国整体反华氛围的事实，巴基斯坦也有坏人，同样改变不了巴基斯坦整体亲华氛围的事实,0
听雨说梦-,2021-05-22 03:02,友谊是真谛！！,0
账号已注销,2021-05-22 02:10,这期看过,0
l今朝有奶今朝醉l,2021-05-21 23:09,我们有条生命线在他们那里，他们也有条生命线在我们这里，天然的友谊。注定的，喜欢不喜欢也是。所以有些人说话，请婉转一点，少说无益话。,0
健哥的bili,2021-05-21 22:25,也不用这样自夸吧  我的天害羞,0
尐羊羊,2021-05-21 22:17,小心某些狗装中国人骗巴铁,0
愛莉希雅_Elysia_,2021-05-21 22:09,真好，友谊天长地久,0
光荣の心Joestar,2021-05-21 21:31,远方的家，这节目可好看了,0
活着退休,2021-05-21 20:32,希望有生之年我们公司可以到巴基斯坦搞建设。,0
碧海枫林,2021-05-21 19:31,巴铁变巴贴,0
saliwen,2021-05-21 19:29,只有永远的利益没有永远的朋友！客观看待少些忽悠！,0
moccadoll,2021-05-24 22:33,怎么了？你就没个好朋友？,0
KK家的大财迷,2021-05-21 18:25,大家是互相,0
大抵是有毛病,2021-05-21 18:00,啥时候也去巴基斯坦玩玩？,0
糯依依,2021-05-21 18:04,除了巴基斯坦我还想去塞尔维亚，但是还没有直线到塞尔维亚的飞机,0
神樂狂三,2021-05-21 22:07,直接去呗，巴基斯坦免签的吧,0
天上的水母,2021-05-21 17:59,我也想合影，记者小哥哥一亿点帅。,0
就他末你叫夏洛啊,2021-05-21 17:50,这个视频几年前看过，然后才注意到右上角的时间,0
AXin义马大,2021-05-21 17:49,呵呵,0
爷不喜欢猫,2021-05-22 09:51,回复 @AXin义马大 :那难道不应该爱国？,0
冷杉领的安蒂缇娜,2021-05-21 21:24,,0
淩茜xi,2021-05-21 17:45,i like you,0
室友哇咔咔,2021-05-21 17:29,阿up主好皮，一看就是老司机，常混B站的吧,0
Montgisard,2021-05-21 17:17,印度：是在下输了,0
寄红尘,2021-05-21 17:12,,0
清新阳光茶,2021-05-21 17:13,主要是帅,0
格洛克9mm口径,2021-05-21 17:10,,0
仲澥的双子星琴生翔宇,2021-05-21 17:08,这是前几年远大的家的拍摄，我看过这个直播,0
成心等待你,2021-05-21 17:08,如有需要我们第一时间到。,0
枫-昊天,2021-05-21 17:03,刻在DNA上的友谊,0
这是一只懒猫猫,2021-05-21 17:00,,0
决鬥者的生命,2021-05-21 16:50,真正友谊,0
NINNY-NI,2021-05-21 16:35,沾了国家的光,0
绝对平衡之力,2021-05-21 16:25,友谊地久天长,0
火残冰殇,2021-05-21 16:23,挺想去巴基斯坦玩的,0
-记住了吗-,2021-05-21 16:20,几秒钟，十一了,0
小得而盈满,2021-05-21 16:19,中巴友谊万古长青,0
捂耳听风嘤,2021-05-21 16:18,第五,0
五毒的毒铋,2021-05-21 16:17,巴铁,0
那云涛,2024-04-26 17:31,中国和巴基斯坦友谊长存希望有发展前途无量,0
赛博基尼,2024-01-09 01:32,看起来自然的是中国人，尖嘴猴腮的是日本人，长相千篇一律的是韩国人。,0
kissaca_0125,2023-01-17 17:36,中巴友谊万岁,0
花宫初奈保护协会,2022-11-06 15:29,这小哥长得好方正,0
账号已注销,2022-10-31 15:05,卧槽这记者叫什么，好帅,0
时间旅行中,2022-09-29 19:45,从小看到大的（远方的家）竟然还在，这个节目,0
亚索拉卡萨丁真逊,2022-09-09 17:59,巴基斯坦人是这样形容和我们的关系，比喜马拉雅山更高，比蜜更甜，比海更深。,0
888执念,2022-09-02 15:22,被感动到了，希望中巴友谊长存。巴铁兄弟有机会也要来中国旅游，善良的中国人们欢迎你们。,0
透明的血,2022-08-31 09:35,那如果我在巴基斯坦说方言呢,0
二胡是本命,2022-07-20 03:52,如果嫁到巴基斯坦会被宠上天吗,0
谦谦君心,2022-07-22 18:41,不会,0
过嚟睇睇下姐,2022-07-17 16:13,但我没上面这个帅气,0
一拳十个嘤嘤怪__,2022-07-11 14:21,大学时跟同学去斯里兰卡玩，碰到两个巴基斯坦人一直抓着我们合影😂😂😂,0
水薄蒸雾,2022-05-19 21:08,等着疫情好了我一定要去巴基斯坦,0
月念方,2022-05-19 13:00,然后他们把合照拿回去炫耀,0
964885128,2022-05-04 14:08,我觉得还是他比较帅的原因,0
Brantkangkang,2022-04-19 03:02,你这么帅我也想合影,0
酱汁菜,2022-04-08 18:04,,0
账号已注销,2022-04-03 00:59,可以免单，但是钱要付的呀,0
请问怎么白嫖,2022-03-25 04:56,我要是去巴基斯坦说贵阳话  会不会被当做八嘎,0
鲲莉,2022-03-23 19:39,这个红衣服的挺帅呀,0
爱看电影的猫咪巧克力,2022-03-18 22:45,小哥好帅,0
LV慕容亦辰,2022-03-01 14:10,去哪里旅行拍照,0
官方认证L哦,2022-02-26 21:20,巴铁,0
污璃要努力,2022-02-26 13:34,中巴友谊长存！希望去巴基斯坦玩的国人文明友好，咱们去消费他们可能会给我们免单，但亲兄弟明算账，咱们照给不误，这样友谊会更深厚,0
嘀嗒嘀嗒嘀嗒拼车,2022-02-25 13:24,看的我热泪盈眶，作为中国人真是太自豪了,0
Sunoo_osf,2022-02-14 21:22,中巴友谊长存☀️,0
BVout,2022-02-14 17:50,如果看韩国生气到想抄家伙，来看看巴基斯坦吧，对比度就出来了,0
来个好名吧,2022-02-13 15:08,深受感动,0
晚点送它走,2022-02-13 13:06,来中国 大家也要好好的欢迎巴铁,0
双击侠,2022-02-12 08:09,中巴友谊长存。,0
马至良,2022-01-30 14:58,虽然我知道央视不差钱，但白来的硬币为什么不投呢？,0
