用户名,时间,内容,点赞量,sentiment,sentiment_class
钻石打工皇帝狗神,2024/1/7 2:17,我97年生的，我出生的时候一大家子住在土房子里面，电视也只能去看人家的，村里的路也是土路，出行也就自行车了。。。我姐还是俺村第一个大学生，，，20年过去了，村里，已经今非昔比了，以前下雨，路成了水泥路(土路)，现在下雨路是水泥路，家家户户有电视，但并不常看，一座座房子也都是拔地而起，不能说多么富丽堂皇，但至少想买啥都能买到，没事儿淘个快递。村里有能人会搞钱，修建寺庙什么的，算是给大队创收了，广场也建了，市区的公交也通到我们村了，我们的导航也起步，公交都是实时公交了，公交到了就出门，到市区就坐地铁共享单车出去玩儿了，想出门就旅旅游，坐高铁，反正跟开车花的油钱高速费也没差，车买个差不多的就行了，算是应急用的。不想出门就在家打打游戏。现在也在见证国家往高精尖的方向发展，挺感慨的，想起来小时候的农村生活，东西用不起，肉吃不起，教育也落后，买点书都是心疼，课外书我都没看过几本，父母外出务工之后，算是有所改善了。虽说也有贪污的领导，这几年市区领导做的挺厉害的，绞尽脑汁开发商业，吸引游客了，吸引沿海发达地区的人来消费，带动我们地区的经济活跃度。我们年轻人也是绞尽脑汁去城市工作，放假回家消费。发展到现在，可以说是非常的nice属于是,566,0.999999955,非常积极
梦回斯瓦迪亚,2024/1/10 9:09,我93年东北农村的，小时候冬天大半年，只有白菜土豆和酸菜，杀猪了才吃到点肉，不过绝大部分都卖掉了自己只留一点点现在真就是随便吃想吃啥吃啥，十多年前家里人都不愿意考驾照说这辈子根本不可能买车，结果现在差不多人手一辆车了，小时候一直在村里住，冬天拉屎冻的屁股都没知觉了，谁能想到有一天还能住楼房，甚至没想过还能跑到杭州买房定居了，只能说经济和科技发展的太快了，心态都没赶上国家的发展，以前总觉得老一辈接触新鲜事物很慢，智能手机都不会用，结果发现现在各种智能家居，说话就能控制全屋子里所有电器和窗帘啥的，我也是一脸懵逼。,19,0.954299053,非常积极
过眼雲烟_,2024/1/9 11:22,你也挺厉害，考到清华大学,13,0.869948928,非常积极
鹿一十六-牢姜版,2024/1/11 15:36,回复 @bili都只是过眼云烟 :只要你愿意，站里每个用户都可以标一个“清华”,13,0.291013319,较为消极
AI视频小助理,2024/1/26 14:33,"一、作者三次前往巴基斯坦的经历，解答了关于巴基斯坦的疑惑，展现了当地的风土人情和中巴友谊。
00:01 - 巴基斯坦是一个饱受争议的国家，但也是中文互联网上备受关注的中国兄弟国家。
01:44 - 作者喜欢深入目的地，体验当地民俗和文化，为大家呈现平时见不到的内容。
06:11 - 巴基斯坦北部城市吉尔吉特存在社会问题，局势混乱，但当地人的生活依然从容和佛系。
二、作者在巴基斯坦的旅行经历，包括当地人的生活水平、科技水平、交通工具、思想状态等方面，以及与当地人的互动和感受。
07:07 - 巴基斯坦生活水平停留在七八十年代，智能手机不普及。
09:15 - 当地人思想状态与中国不同，没钱人认命，难以跨越阶层。
12:07 - 巴基斯坦局势危险，大巴车配备安保人员保护中国乘客。
三、巴基斯坦边境城市白沙瓦的混乱局面和枪械文化，以及当地人对中国人的态度。同时，还介绍了阿富汗战争难民的情况。
14:13 - 巴基斯坦富人拥有豪华生活，养孔雀和狮子等
15:40 - 白沙瓦局势混乱，枪声频繁，中国游客需住指定酒店
20:24 - 白沙瓦难民营正在修建高端住宅，阿富汗难民将被遣返回国
四、作者在巴基斯坦旅行的经历，包括与当地人的交流、游览城市、乘坐公共交通工具等，同时提到了一些安全问题。
21:20 - 巴基斯坦的穷人吃得很差，扔掉了地毯上的食物
22:03 - 在拉合尔旅行时，需要保镖持枪守卫在身边，感觉比较紧张
25:36 - 卡拉奇有世界上最大的贫民窟，居民生活条件恶劣，日用品都是富人区丢弃的废品
五、中国人在巴基斯坦的地位和待遇，以及巴基斯坦人对中国人的态度和行为，同时也探讨了国家交往和社会交际的复杂性和矛盾性。
28:24 - 巴基斯坦人对中国人的态度很矛盾，真诚和利益混杂。
29:11 - 巴基斯坦人对中国人的优待是有层次和排序的，处于优待的最顶端。
33:41 - 普通巴基斯坦人对中国人的好感可能是因为中国对巴基斯坦的帮助和援助。
--本内容由AI视频小助理生成，关注解锁AI助理，由@粪池里蠕动的苍蝇幼虫 召唤发送",27,1,非常积极
一坨大橘猫233,2024/1/9 22:18,故事的最后，说到四川女孩嫁到巴基斯塔的那个片段，说是待遇很高很好，为什么女孩的微表情表现出来的是焦虑和迷茫呢，而且全家福照片的站位，是站在边缘最角落，看似C位，实则融入不到群体，我在一个离婚的朋友的结婚照上，就看到了这么一幕。,122,0.99999998,非常积极
还可以的柚子,2024/2/29 15:48,这可能是婚姻的常态哈哈哈哈,5,0.98102914,非常积极
loudest_purring,2024/1/7 19:35,就是地缘政治，只要印度还在一天，巴基斯坦都是中国永远的朋友。但是你自己看越南在官方文件上和巴基斯坦第一位是一样的，但是两个国家群众对中国人真的不一样，巴铁确实实至名归，民间对我们很友好,195,0.999997615,非常积极
萝卜booT,2024/1/8 0:36,"笔记
应一楼的话我家也是如此  08年之前家里还是1层两间土房子  村里的情况和视频里巴铁的大差不差 10年到14年村里家家户户基本都修了小洋楼  家家院里都停着小汽车 这一切真的该感谢国家给了让普通人能靠努力过上好日子的机会",177,0.996105641,非常积极
如果和我杠你贏,2024/1/8 18:03,只能说同一个国家也有很大差异，北方很多农村还是没有达到这个标准。,22,0.369239369,较为消极
六枚硬币拿走不送,2024/1/8 23:54,回复 @如果和我杠你贏 :不可能一夜之间都变成这样，都是逐步的，但是你对比看看巴基斯坦，四十年就没怎么变化,32,0.845235586,非常积极
任少校,2024/1/7 22:26,我发现了，凡是大主播过去都有特别关照，一般人过去没有这个待遇的。,61,0.095279188,非常消极
二条院亦华,2024/1/9 9:55,你看完没有，最后总结的很好,19,0.798633201,较为积极
任少校,2024/1/9 18:29,回复 @七月冻结的天空 :看完了，up说的很好，很多人接近你是为了利益，平凡的人反而真心待人。,23,0.999450562,非常积极
kiefff,2024/1/30 17:18,对待朋友，要想着有一天会成为敌人，对待敌人，要想着有一天成为朋友————李世民,31,0.927785976,非常积极
在火锅里惨叫,2024/1/18 10:53,哪儿有那么铁，前段时间还摇摆不定呢。反倾销税收起来也是一点不手软。国与国只有利益，好只能是现在的利益深度捆绑，不好那就是有了更好的利益。,22,0.97825188,非常积极
王樂樂樂樂,2024/1/10 12:42,"笔记
在西安，俩巴基斯坦学生要买机票，南航的工作人员让他们找个中国人帮他们，他们找到了我。我也帮到了他们。",115,0.988912355,非常积极
磁鳝土块,2024/1/14 13:03,好像大爆炸里的raj啊,1,0.380267093,较为消极
水面下的鲸落,2024/1/6 16:40,落后不开放的地区对外人都很热情，这很正常，早个20年，身边有个外国人朋友，也是很有面子的事。,93,0.982232237,非常积极
bili_56384165412,2024/1/6 17:08,两件事没关联的，人性多变，尤其是平头百姓，不是一句话可以概括的,12,0.673520441,较为积极
一枚小气泡,2024/1/7 20:35,因为在我们大部分国人的认知中，或者下意识认知中，社会稳定是最有体会的词，无时无刻能感知到这点，所以不去有些国家就体会不到不稳定的感觉，哪怕我们知道不稳定的后果…所以，去接触有些地方得分时期，有可能只是隔个一二年去同一个地方你会有不同体验，这可能就是原因,21,0.999999586,非常积极
锦鱼儿灬,2024/1/7 16:56,up在视频里面说的一句话说的非常好  没有调查就没有发言权！  希望这种视频可以火起来 让大家看看,117,0.58613933,中立
逼王贝吉特,2024/1/7 21:28,“没有调查权就没有发言权”最早是毛泽东年轻时说的，正是那时他全面调查了农村地区，得出了“城市革命不可能成功，农村起义包围城市才是最可能成功的道路”的基础理念，伟人的话永不过时。,49,0.999999825,非常积极
iiiiiiiiiiiiVR,2024/2/1 19:35,没有全面的调查依然没有发言权，所以还是多看多思考,2,0.983614055,非常积极
思路越来越清晰了,2024/1/6 17:40,巴基斯坦国内有极端组织，而中国跟巴基斯坦的合作更多的是经济层面，一个国家经济增长也会促进社会稳定！当然了这是极端组织不希望看到的，只有动荡和不安才是滋生极端主义的温床,223,0.999968702,非常积极
理解最伟大,2024/1/7 16:55,政府组织架构太混乱了,9,0.715311149,较为积极
Kobe可爱喵,2024/1/7 19:25,巴塔,1,0.5,中立
若三芊,2024/1/7 13:00,看多了这种视屏，你就会发现中国的发展真是世界奇迹！,285,0.999271931,非常积极
鹰酱学论战略,2024/1/7 22:06,绝对的10亿级别工业国，绝对的奇迹,38,0.743954128,较为积极
だいすきzerotwo,2024/1/7 20:43,现代的中国本就是一个奇迹,22,0.914466336,非常积极
我的嘴巴很硬,2024/1/6 13:40,不是很喜欢这种解说式的模式，喜欢亲身现场实录视频那种，没继续看下去抱歉,15,0.86907469,非常积极
我就呵呵了了了呵呵,2024/1/6 17:56,这个视频是个经历总结吧,1,0.771437445,较为积极
不愿氪就卸了吧,2024/5/7 22:11,"你是对的。他带入太多主观思想了。
别人请你吃喝玩乐那么多天，正常理解也应该是朋友了。托朋友给自己留意个对象，竟然被解读成另有企图。
还有厨师也是。任何一个人在得知，自己的职业在另一个地方，收入能翻几十倍的时候，正常反应都是想去收入高的地方工作。那种对话语境，相信全世界90%的人都会跟那厨子一样接话。",1,0.999961502,非常积极
这个爆米花的外皮不甜,2024/1/12 10:12,"一群人总拿利益说话这一点我很反感

我想起我小时候家里找人装修的时候我直接了断的说：“干好了才有钱拿”
我爸听到后直接拍了我后脑勺一巴掌说：“怎么说话呢？”

有时候说话要经过大脑，给对方留一步，这是交流的基本功。直接把人家下一步棋的思想拆穿了，这不仅让人家觉得难堪还有损双方关系。",16,0.902457153,非常积极
我的loser,2024/1/12 23:54,我最早看的就是侣行，他们拍的有好的也有坏的，不可能全都是对人友好热情，大方向是，落实下来就没网上说的那么好，每个人都是独立个体，也是我第一次了解巴基斯坦。,23,0.98996223,非常积极
寡言语梦,2024/1/16 19:22,他两口子 确实比较真。不会说什么多的个人主观臆断，更多的是 实事 见闻 。,3,0.285876025,较为消极
逝云丶,2024/1/9 19:40,只能说，一通下来能看得出巴铁确实是毋庸置疑的，不光是政府与政府的交往，人与人之间也有着历史交融，而就算有人在那遇到了坏事也只能证明这些只是小部分群体的行为，并不能掩盖这个国家对我们的热情，而很多真实情况更多是有人为了钱愿意卑躬屈膝在整天歧视中国人的一些国家里生活，也不愿意看看这些并不是很富裕但真心接纳我们的国家,24,0.999999996,非常积极
wuyam55,2024/1/7 20:18,我之前在新疆就遇到过一个巴铁，他要做大巴又不会中文，正好我跟他的目的地是一样的，就带他去买了车票还给他买了早餐，，，然后我就像个珍惜动物一样，被车上的巴铁们拉着合影,21,0.999987617,非常积极
山财小王同学,2024/1/7 18:15,国强人民则强，国弱则民弱，正因祖国的不断发展，中国人在国外才能越来越受到尊重，希望祖国繁荣昌盛，不光是巴基斯坦，有更多国家才能尊重我们！,23,0.999971625,非常积极
已更新百分之十,2024/1/8 20:13,其实无利益不友谊，关键看付出有没有回报，互惠互利=人情往来，你有求于他，他有求于你，最后朋友演变成可以无条件战略互信，无需相互博弈的伙伴，这是能把后背交给对方的。对无求于你的人，你永远不敢把后背交给他,13,0.999904542,非常积极
理智战胜色性,2024/3/3 21:37,"我看了视频就很感觉巴基斯坦人和中国现在农村的人一样很淳朴，淳朴并不是一个褒义词或者是一个贬义词，而是一个中性词。例如你开车下了大雨或长时间没有吃饭来到来到农村人面前，他会很热情的招待你，但是你若是损害了他的利益，他也会很无赖，哪怕这个他的利益是侵占别人的，并不属于本身自己。
以上这件事是我亲自的感受。",11,0.999999004,非常积极
牛鼻子老道dada,2024/1/6 23:06,曾经一个巴铁留学生找我办事，我悄悄让同事关照，被巴铁听到，他中文不好，但是基本能听懂，他不能中文表达，但热泪盈眶你能明白。这就是友谊的种子。,69,0.999929364,非常积极
不愿氪就卸了吧,2024/5/7 22:03,"带入太多主观思想了。
别人请你吃喝玩乐那么多天，正常理解也应该是朋友了。托朋友给自己留意个对象，竟然被解读成另有企图。
还有厨师也是。任何一个人在得知，自己的职业在另一个地方，收入能翻几十倍的时候，正常反应都是想去收入高的地方工作。那种对话语境，相信全世界90%的人都会跟那厨子一样接话。",4,0.999961502,非常积极
乐意aal,2024/1/6 13:35,我的理解是，这种表现出来的矛盾，总结起来还是古代于现代文明冲击所带来的。因为从古老的文明没有能顺滑的过渡到现代文明。,14,0.999960576,非常积极
我是一条咸鱼啊QaQ,2024/1/10 5:00,巴基斯坦的确会对中国人更友好一点，但是我之前看过一个排视频的在巴铁差点被偷钱包，每个地方都有好人坏人要保持应有的距离和提防,10,0.957279398,非常积极
伤忍轩,2024/1/15 8:51,如果我是巴基斯坦人，我会这么想，我是中国的邻国，而且保持一直友好的睦邻关系，基于以上事实，我避免了被西方帝国主义对我的侵略，并且中国人帮助我们建设，带来了更好的生活，于此同时，中国这种体量的国家不仅不剥削侵略我们，而且不干预我们的内政，至于我们的乱局，中国人从来不渔翁得利，让我们自己解决。中国人的善良和胸怀，感动了我们，是我们的好朋友。,2,0.999999999,非常积极
灵魂在尬舞,2024/3/27 0:45,不要老有人说没有永远的朋友，只有永远的利益。对比一下巴基斯坦，再对比一下越南，朝鲜，世间有质朴就有诡诈，不要看见诡诈后就埋藏所有人对你简单的善念。,5,0.999999921,非常积极
飘过一缕枫,2024/1/10 16:35,中国人的钱包是在世界出名的 任何地区有真善美的人  虽然但是 我认为还是出门在外 不用最大恶意揣测他人 但是也自己长点心眼吧  一个社会制度相对混乱的地区 对你好的背后是复杂因素交织的 巴铁的好我认为更多的是国家层面上的,7,0.999999581,非常积极
梦文学,2024/1/8 16:35,很难得的是，up主是从社会的各个层面来剖析出巴基斯坦人民对于中国的态度。不同阶级的巴基斯坦人对待中国人或多或少都带有一定的目的性，有的是为了宣传中巴友谊，有的是想找中国女朋友，但本质上都是希望能从中国获得更美好的未来，而老一辈的会更加存粹一些，更多的是为了感谢中国人帮助巴基斯坦人民修路。,55,1,非常积极
糖霜小面包,2024/3/22 3:38,很对！！其他旅游博主可能更多的只有接触到底层人民,0,0.932334114,非常积极
糖霜小面包,2024/3/22 3:39,而up主展现了不同层次的巴基斯坦人的情况,0,0.971853408,非常积极
呢识条铁咩,2024/1/11 10:41,"笑死 国家和国家之间别用拟人来形容 国家间讲的是利益 （官方宣传的是一回事）  民众要有清晰的认识  
别到某个时候 突然翻脸了  很尴尬.",41,0.664795186,较为积极
杰奏啦啦,2024/4/1 12:32,确实。我也是这样想的 ，当你苏联老大哥更是情同手足,2,0.98477362,非常积极
Sukielk,2024/1/24 15:34,所有的“铁”不过都是利益交换，最稳定的关系就是利益，无缘无故的好是不长久的，我就喜欢这样的巴铁，互相需要，互相利用,15,0.996162238,非常积极
路过的羊库库老师,2024/4/2 15:09,这样的关系反而透着一股真诚，我也喜欢这样的关系,2,0.54682691,中立
渝大牛,2024/1/6 16:01,对外人不友好的仅是极端者，全世界的普通人只要不损害其利益对人基本上都是和善友好的。,169,0.892444063,非常积极
撒欢的西瓜,2024/1/15 3:11,友好与恶意之间，还有个冷淡,16,0.426439466,中立
流浪男孩青梅煮酒,2024/3/4 11:36,不不不，这只能说明你是友好的，但是别忘记人之初。,2,0.299630978,较为消极
路过的羊库库老师,2024/4/2 14:52,回复 @流浪男孩青梅煮酒 :人性本质是自私，没有利益冲突的情况下选择友善还是冷漠就能说明两方的融洽程度,1,0.999980507,非常积极
内卷失败-码字还债_,2024/1/9 20:44,"有没有一种可能，当省长知道有400多万中国人在关注你的时候你就被特别对待了。   
 像警车护送这种事情哪怕政府在乐意警力资源也是有限的。",14,0.998555244,非常积极
独孤大咸鱼,2024/2/15 13:45,巴基斯坦政府专门设立的机构，用来保护外国游客的，虽然不可能全部像up这样24小时保护，但还是会做到一定程度的安保工作的，这不算浪费警力资源，而是这个部门就是干这个的,5,0.033524709,非常消极
霜天之刃,2024/1/17 1:48,老毕登峰哥在中国也有好几百万粉丝，去了日本，照样被当成麻原彰晃。,1,0.844372462,非常积极
这个跑车我补不到,2024/1/18 20:55,B站一直是我最喜欢的媒体平台，弹幕有趣且温暖，没有贴吧戾气重，比抖音正常，也比微博有趣。但现在我发现B站和这几个平台越来越趋于同质化，弹幕开始二极管化，非黑即白，很多视频看得我甚至想关闭弹幕。,13,0.995231601,非常积极
路过的羊库库老师,2024/4/2 15:03,人多了沙皮自然就多，但可悲的是沙皮的声音最大,2,0.977647559,非常积极
妳以为爱,2024/1/6 21:34,这么好的视频，为什么看的人不多，讲的再真实不过了,41,0.81437077,非常积极
DIO鲨鱼辣椒,2024/1/21 18:28,因为多数人不会考虑去巴基斯坦，无论是旅游还是工作或者长期定居,10,0.951502438,非常积极
hirowl,2024/1/7 22:20,如果有一个国家一直帮助我们，那我也非常赞同优待他们的公民，善意的回报吧。,15,0.888620049,非常积极
我爱薄荷水,2024/5/13 18:24,尼泊尔笑而不语,0,0.480116541,中立
奇妙到处跑,2024/5/13 21:33,回复 @我爱薄荷水 :尼泊尔我是懂信仰的,0,0.988668524,非常积极
流逝微笑,2024/1/7 2:38,人与人的交往平等和友善就是最舒服的,23,0.999059959,非常积极
杜鹤影Elio,2024/1/10 23:44,"牛逼的厨师在国内何止六七千啊。。
就学校快餐档口的厨师都要一万了。。
那都是普普通通的厨师耶。。",14,0.749466378,较为积极
谁看到我的名字了,2024/1/11 6:37,大多数城市小餐馆厨师就是这个工资，但是稍微好一点的餐馆或者高档一点的工资就过万,1,0.323521622,较为消极
黑格の提姆,2024/2/1 18:24,那要看厨艺得多牛逼了。国人有12亿多人工资都不到5000块，六七千已经不错了。,0,0.960219516,非常积极
瑞琪不开麦,2024/1/15 1:12,人和人的关系 说穿了就是利益关系  这很正常 感情当然可以讲 这是之前的恩惠的报答或者说反馈 但就现在而言 有利益的想法 也是正常的  不管是哪个国家的人  或者哪里的人 我们其实都一样,8,0.979837045,非常积极
路过的羊库库老师,2024/4/2 15:08,嗯，有很多人一谈到利益和被针扎了一样其实大可不必，人与人最正常的关系就是利益关系了。,0,0.952513823,非常积极
行走在东拉河上的鱼,2024/1/6 16:49,这是我见过的最客观最理性的国外旅行记录观察up主，其他的都太年轻，缺乏深刻的社会认知，被底层的生存智慧小小欺骗了,13,0.999978247,非常积极
千凌莫羽,2024/1/7 14:54,想去一次，无他，看一下烈士陵园,13,0.396846243,较为消极
殻殻殻殻殻殻子,2024/1/10 15:29,up既然是要做一个正经的记录 那么对于枪械最好是不懂的就实事求是 一定要指明的话最好是去了解过再讲 不要张口就来AK47左轮之类 虽然也有可能是视频剪辑原因导致的 但整个视频只要出现枪械的镜头就基本没有一句是对的上的,5,0.998799784,非常积极
心动电波xddb,2024/1/9 9:54,中肯又有内涵，关注了,11,0.766560804,较为积极
onemingl,2024/1/7 15:50,看完了，就像一个朋友在和你聊天一样,10,0.600016593,较为积极
账号已注销1157952,2024/1/5 19:13,我记得这个视频是发过啊  为啥还发布一次  是做个总结嘛,4,0.168625252,非常消极
暴走兄弟,2024/1/5 20:36,总结,0,0.526232782,中立
账号已注销1157952,2024/1/5 19:14,前面一部分是一样的  后面的话不一样应该是个总结视频,1,0.65455588,较为积极
小艺小艺和小爱同学,2024/1/8 15:37,稳定真的发展的第一条件。看一看我们的国家,8,0.972253695,非常积极
快进到统一,2024/1/8 18:21,UP可以i把与省长互动的视频投稿给共青团账号或者央视,7,0.501769327,中立
彦律,2024/1/9 8:31,总感觉up主像金轮大司马,5,0.118829583,非常消极
一定要暴瘦的王唧唧丶,2024/1/9 10:47,我觉得像大鹏 = =,0,0.5,中立
雪莉酒的男朋友,2024/2/3 20:59,"注意安全🙏√
赶紧缓存√
太敢说了√
up保重√
不要命了？√
先缓存√
最后一期√
保护√
真正的勇士√
up小心一点√
大胆！√",4,0.130107471,非常消极
猫子夹生版,2024/3/4 19:38,为什么我在交友软件上遇到的完全不一样，我一上去就高兴的打招呼 可对方冷静的就像相亲对象一样，首先告诉我们之间没有朋友 国与国之间只有利益……有种奇怪的感觉 虽然他说的没错，,4,0.99960028,非常积极
不知名虫虫,2024/5/1 15:52,我遇到的巴基斯坦人还蛮友善的，主动教我Urdu，邀请我去那玩，说巴基斯坦北部风景很好，值得一看,0,0.999400902,非常积极
昆汀sha强,2024/1/11 15:00,都是巴字头。巴基斯坦和巴勒斯坦怎么就差距这么远呢。如果巴勒斯坦和咱们也是巴铁。此次巴以冲突又会有何种改变。很有意思,2,0.999842069,非常积极
八云叔叔,2024/1/9 17:39,真实且中肯，让我对巴基斯坦有了很直观的真实了解，不再是网上和资料里面所说的巴铁两个字。,3,0.999418308,非常积极
小緑同志,2024/1/8 21:07,很喜欢up的这种记录方式，不去给观众灌输太多主观的想法，而是把自己真实的经历说出来，让大家自己去思考，但我其实也不会根据up的这些经历去下结论，但是是很好的参考，有机会还是想自己到处去看看,3,0.999989962,非常积极
小至有尊宝,2024/1/9 23:57,"笔记
笑死我了，原来巴铁也用国际友好手势",43,0.909626576,非常积极
-Usti-nian-,2024/1/10 21:31,,0,,非常消极
碧桂园门酱,2024/1/14 21:12,,0,,非常消极
化学小白_,2024/5/25 13:25,巴基斯坦很多人对我们的好 都是建立在我们的前辈对巴基斯坦的贡献上的 他们有的人甚至为此付出了生命 永远留在了异国他乡 他们守陵园也是应该的 我们应该感谢那些前辈们 我们在巴基斯坦得到的好 本来都应该是属于他们的,3,0.999999875,非常积极
edc_0731,2024/1/12 20:14,巴基斯坦上班的同事，2021年回来的，说，他们是不准私自去市区的，只能机场到办公区域两点一线。办公区域门口有实弹警卫把守，出行去机场也是防弹车开道。,1,0.973134482,非常积极
做个俗人-知世俗,2024/1/20 11:53,看工作吧，或者说普通人过去没你们想象得这么好，我在这边半年了，什么都看透了,2,0.979676792,非常积极
孟香柏,2024/5/16 22:59,up主好好哦，说话很客观，也不会带有一种让人不适的预言描述别人的友好或者说其他国家的女孩，真的能看出来人品很好啦～关注了,0,0.998139349,非常积极
举相机的斑比,2024/1/9 22:04,因为地缘政治的利益交换是本质，但是由此引导的民间情绪却有一部分当了真，可是事情往往就是专业，一件事，只要当真的人越多，那这件事大概率就会变成真的，这既是指向了部分的巴基斯坦人民，也是指向了部分的我国人民。该如何面对这种情绪呢？认清本质，顺势而为。,1,1,非常积极
姬神空,2024/1/13 1:44,清醒,0,0.926829268,非常积极
舍曲林_CN,2024/1/7 20:48,这个视频是最准确的，目前感觉，其他的视频都是一概而论的,4,0.588730493,中立
夏目jz,2024/2/27 12:36,没必要谁对谁优待，平等互助才是最好的发展，也没必要去占别人的便宜,4,0.599538247,中立
萝卜味薄荷,2024/1/8 20:53,人之常情，自己时刻保持清醒，这个社会是灰色的不是非黑即白，注意安全,3,0.969928573,非常积极
帅气多金且66,2024/1/8 12:00,巴基斯坦的反对派是指巴塔吗？,0,0.691151568,较为积极
Lj5Lg,2024/1/8 13:56,应该是巴解，巴塔是KB针对所有歪果，八戒后面就是三哥支持的只针对兔子人。,1,0.808143551,非常积极
星海联合扫黑办灰风,2024/3/2 12:51,中巴友谊关乎中国国家安全，巴基斯坦所处的地缘位置对中国及其重要，关乎中国对中东的战略输出。,3,0.999999459,非常积极
追风魔头,2024/1/9 8:12,没有全球金融中心的地位和科技地位，必须内卷才能过上好一点的生活，没办法。。,2,0.972883186,非常积极
追风魔头,2024/1/9 8:40,另外我觉得没有目的的好是危险的。。,0,0.666649118,较为积极
无法自拔小白菜,2024/2/19 17:51,我说实话巴基斯坦之所以能和我们这么好是因为我们帮助了太多太多，力度很大。但是，至少从视频里看，大部分巴基斯坦人是对中国友好的。这就足够了其实。我们需要这样的国际伙伴。当然，也不排除这样的小国以后为了利益而倒戈恩人（比如越南和朝鲜），毕竟国家间只有利益。,2,0.99727582,非常积极
-Spike---,2024/1/30 22:03,本来国家层面上友好和国民真实态度和认知如何就未必能完全划等号，比如俄罗斯，其实他们论坛之类的看起来在亚洲里还是喜欢日韩的更多。即使国民普遍喜欢和欢迎某国人也不能说就没特例没危险什么的。我在这边遇到过两个开店的巴基斯坦人，一个开的是kebab就是土耳其中东那种烤肉，他就问我和我朋友是不是中国人，是不是刚来这边，然后闲聊两句说如果遇到有什么问题可以联系他。另一个是开咖喱店的，巴基斯坦和印度挨着饮食就很接近，也是吃这些。前台收银的看到我们是中国人也说了两句比较友好的话。虽然或许只是些客套话不过确实让人感觉挺温暖的。,1,0.999999938,非常积极
亮亮繁星相随,2024/1/7 2:15,朋友跟你铁可能是因为你们长久的相处，陌生人跟你铁可能是因为你能给他带来好处。,4,0.873731254,非常积极
honey_Henry,2024/3/17 13:26,看了弹幕好多人质疑，去查了一下，up主在抖音有464万的粉丝，所以视频没说错,3,0.056251094,非常消极
